"Male","Age","Debt","Married","EducationLevel","Ethnicity","YearsEmployed","PriorDefault","Employed","CreditScore","DriversLicense","Citizen","ZipCode","Income","Approved"
1,23,12,2,3,4,4,1,1,9,0,2,56,743,1
1,26,1,2,4,4,0,0,1,2,1,2,174,4,0
0,18,9,2,6,4,1,1,0,0,1,2,0,1,1
1,20,1,2,11,4,2,0,0,0,0,2,108,8,0
1,32,16,2,2,4,3,1,1,9,0,2,250,731,1
0,58,2,2,1,1,7,0,1,1,0,2,0,11,0
1,60,2,2,11,4,0,1,0,0,1,2,260,1,1
0,65,14,2,1,1,0,1,1,11,1,2,0,1401,1
1,30,1,1,3,5,1,1,1,10,1,2,132,29,0
1,49,7,2,11,8,6,1,0,0,1,2,350,1,1
0,24,12,1,4,8,3,0,0,0,1,2,20,17,0
1,20,9,2,8,4,2,1,1,3,1,2,40,29,1
1,48,8,2,9,8,16,1,1,12,0,2,0,791,1
1,23,2,2,11,4,2,1,1,3,1,2,0,583,1
1,32,14,1,1,1,0,0,1,2,0,2,160,2,0
1,34,0,1,13,4,0,0,0,0,0,2,180,1,0
1,24,0,1,9,4,3,1,1,6,1,2,208,348,0
1,17,0,1,4,4,0,0,0,0,0,1,200,1,0
0,21,9,2,8,4,0,0,0,0,0,2,0,352,0
0,61,17,2,11,4,11,1,0,0,1,2,21,10562,1
1,32,5,1,6,4,9,1,0,0,0,2,0,1,0
0,25,12,2,13,8,4,1,1,6,0,2,400,459,1
1,22,10,2,8,4,0,1,0,0,0,2,140,1,0
1,20,0,2,8,4,0,0,0,0,0,3,184,1,0
0,25,14,1,1,1,2,0,1,1,1,2,200,2,0
1,43,5,2,11,4,5,1,0,0,0,1,0,1,1
1,27,2,1,8,4,1,1,1,5,1,2,160,5778,1
1,58,7,2,7,4,14,1,1,6,1,2,360,1333,1
1,56,12,2,1,1,5,1,1,5,0,2,0,8852,1
1,51,10,2,3,5,0,1,1,11,0,2,0,1250,1
1,40,1,2,7,4,0,1,0,0,0,1,288,1,0
1,28,2,1,6,4,2,1,1,3,1,2,370,561,1
1,30,7,2,13,4,3,1,1,8,0,2,330,1201,1
1,52,2,1,1,1,2,0,0,0,0,2,120,2,0
0,25,11,1,6,4,5,1,0,0,0,2,120,1,0
1,30,1,1,8,4,0,0,0,0,0,2,240,1,0
0,34,0,2,13,4,0,0,0,0,0,2,300,45,1
1,26,1,2,8,5,0,1,0,0,0,2,349,24,1
0,29,1,2,8,4,3,1,1,5,1,2,300,1431,1
0,18,0,3,13,1,10,0,0,0,1,1,300,1,1
1,20,7,2,8,4,2,1,1,3,0,2,200,1392,1
1,18,22,3,1,7,0,0,0,0,1,3,450,100001,1
1,18,7,1,7,4,0,0,0,0,0,2,140,1,0
1,48,3,2,7,5,3,1,1,12,1,2,410,2511,1
1,57,9,2,10,8,7,1,1,3,0,2,0,1,1
1,14,4,1,9,4,2,1,1,2,1,2,120,1001,1
1,19,10,2,11,4,1,1,0,0,1,2,60,401,1
0,22,12,2,4,8,0,0,0,0,0,2,320,6,0
1,18,10,2,9,8,0,0,1,1,0,2,120,2,0
1,35,3,1,9,4,3,0,0,0,0,1,200,1,0
1,29,4,2,9,4,4,1,1,3,1,2,329,1,0
1,21,1,1,12,7,1,0,0,0,1,2,132,3,0
1,18,10,2,8,8,1,0,0,0,0,2,320,14,0
1,28,3,2,9,4,1,0,0,0,1,2,300,68,0
0,46,11,2,11,4,5,1,1,7,1,2,0,1,1
1,23,12,2,3,4,0,0,0,0,0,2,0,1,0
0,32,4,2,2,4,3,1,0,0,1,2,300,1,0
0,20,8,2,4,4,2,1,1,1,0,2,160,235,1
0,21,2,2,3,5,1,1,1,4,0,1,80,1,1
1,27,4,2,13,4,4,1,1,1,1,2,120,1,1
0,27,2,2,1,1,0,0,0,0,0,2,340,2,0
1,42,1,2,9,4,5,1,1,6,1,2,500,10001,1
0,18,10,2,9,4,1,0,1,1,0,2,120,2,0
0,29,1,2,11,4,1,1,1,2,1,2,167,501,0
0,22,6,2,6,4,3,1,1,3,0,2,80,919,1
1,22,11,2,14,4,0,1,1,6,0,2,121,1,1
1,22,1,2,8,4,0,0,0,0,0,2,360,1,0
1,33,9,1,9,8,5,1,0,0,1,2,154,1,1
0,45,1,2,11,4,0,0,0,0,1,2,263,1,0
0,24,1,1,1,1,0,0,0,0,0,2,120,88,0
0,18,1,2,8,4,2,0,1,1,1,2,80,6,0
1,33,3,1,9,4,7,0,0,0,1,2,280,1,0
0,23,0,2,11,4,1,0,0,0,0,1,160,1,0
1,35,1,2,7,4,1,0,0,0,0,1,28,1,0
1,30,1,2,9,8,1,1,1,1,0,2,240,101,1
1,32,3,2,6,4,8,1,0,0,1,2,523,1,0
0,21,2,2,11,4,2,1,1,5,0,2,220,2504,1
1,34,3,2,3,5,0,0,0,0,0,2,180,1,0
1,22,1,2,8,8,2,0,0,0,1,2,128,1,1
0,35,12,2,11,8,14,1,1,8,0,2,0,6591,1
1,32,4,2,13,8,6,1,1,3,0,2,311,301,1
0,23,1,2,3,4,0,0,0,0,0,2,144,1,0
1,27,15,2,3,5,0,0,0,0,1,2,178,1,0
1,44,2,2,7,4,2,1,1,2,1,2,0,16,1
1,30,1,1,8,4,0,0,0,0,0,2,170,180,0
1,38,7,2,11,8,12,1,1,7,1,2,300,6,0
1,17,0,1,8,4,0,0,0,0,0,2,140,723,0
1,49,2,2,1,1,0,0,0,0,0,2,200,4,0
1,23,0,2,7,4,0,0,0,0,0,1,0,1,0
0,35,1,1,3,8,1,0,0,0,1,2,160,1,0
1,44,11,1,2,4,2,1,0,0,0,1,0,1,0
1,60,3,2,9,4,2,1,1,5,1,2,60,59,1
1,26,0,2,7,4,0,1,1,3,0,2,260,15109,1
0,42,1,2,6,4,1,0,0,0,0,2,240,238,0
1,50,19,2,1,1,0,1,1,1,0,2,94,1,0
0,34,2,1,1,1,0,1,0,0,0,2,320,1,0
1,19,4,1,3,4,1,0,0,0,1,2,360,1001,0
0,25,2,1,8,4,0,0,0,0,0,2,120,1,0
1,23,2,2,8,8,1,1,0,0,0,2,422,201,1
1,69,9,2,1,1,4,0,1,1,0,2,70,7,0
1,48,0,2,8,5,15,1,1,20,0,2,0,15001,1
0,33,3,1,8,4,3,0,0,0,1,2,0,3,0
1,43,3,2,11,8,6,1,1,11,0,2,80,1,1
1,23,1,1,6,4,0,1,0,0,0,2,180,2,0
1,35,3,2,13,5,1,0,0,0,0,2,348,1,0
1,57,19,2,2,5,15,1,1,17,1,2,0,1,1
0,44,7,2,11,4,7,1,1,3,1,2,0,1,1
0,44,0,2,8,4,3,1,0,0,0,2,0,1,1
1,34,2,2,9,5,0,1,0,0,1,2,163,1,0
0,45,5,2,4,8,1,0,0,0,1,1,240,1,0
1,31,3,1,7,4,0,0,0,0,1,1,80,1,0
1,28,1,2,11,8,0,0,0,0,1,2,220,252,0
1,19,7,2,7,4,0,0,1,1,0,2,100,2,0
0,41,1,2,3,5,2,1,0,0,1,2,0,301,1
0,24,2,2,9,4,1,0,0,0,1,2,160,1,0
1,32,1,2,14,4,1,1,1,8,1,2,303,3291,1
0,18,11,2,14,8,1,1,1,11,0,2,0,3001,1
0,33,2,1,13,4,4,0,0,0,1,2,200,142,0
0,53,7,2,6,8,3,0,0,0,0,2,0,1,0
0,25,1,2,11,4,1,1,1,2,0,2,200,1,0
1,41,2,2,3,5,0,0,0,0,0,1,300,1,0
1,24,1,1,13,8,0,0,0,0,0,2,240,2,0
1,56,13,2,4,8,8,1,0,0,1,2,24,2029,1
0,29,3,1,14,8,3,1,1,1,0,2,70,1,1
1,32,4,2,7,4,3,1,0,0,1,2,360,1,1
1,21,1,1,8,8,0,0,0,0,0,2,280,205,0
1,34,9,2,8,4,5,1,1,12,1,2,0,222,1
1,43,25,2,11,8,0,1,1,1,0,2,760,91,0
0,38,6,2,4,4,1,1,0,0,1,2,0,1,1
1,37,2,2,9,4,0,1,0,0,1,2,400,5801,1
1,30,2,1,14,8,0,0,0,0,0,2,128,2,0
1,37,3,2,13,4,0,0,0,0,1,2,0,502,0
1,31,20,2,8,4,7,1,1,16,0,2,0,5001,1
1,36,3,2,1,1,0,0,0,0,0,2,0,1001,0
1,21,2,2,8,4,2,1,1,11,1,2,200,3001,1
1,47,6,2,9,4,6,0,0,0,0,2,465,151,0
1,22,8,1,3,5,0,0,0,0,1,2,184,1,0
1,21,10,1,8,4,3,1,0,0,0,1,40,1,1
1,35,3,2,9,4,0,1,0,0,1,2,239,201,1
1,24,1,2,7,4,0,0,1,4,0,2,254,1951,0
1,37,7,2,7,8,4,1,1,12,1,2,93,1,1
0,21,10,2,3,4,0,0,0,0,0,2,200,1001,0
1,37,3,2,11,8,9,1,0,0,1,2,102,640,1
1,23,10,2,14,4,0,1,1,9,0,2,60,397,1
0,27,14,2,11,8,5,1,1,2,0,2,0,5001,1
0,47,0,2,13,8,0,1,1,11,1,2,440,7,1
0,52,0,1,1,1,0,0,0,0,0,2,0,1,0
1,39,3,1,3,8,10,0,0,0,1,1,200,1,0
1,39,2,2,8,4,2,1,1,10,0,2,186,4701,1
0,28,2,2,9,4,0,0,0,0,1,2,180,51,0
1,19,10,2,9,4,2,1,0,0,0,2,120,2207,1
1,40,4,2,8,5,7,1,1,16,0,2,117,1211,1
1,36,1,1,2,4,1,0,0,0,0,2,240,4,0
1,26,0,2,3,5,0,1,0,0,1,2,0,1,1
1,39,2,1,7,4,0,0,0,0,0,1,400,1,0
1,42,0,2,8,8,0,1,1,6,0,2,220,949,1
1,21,8,2,6,4,1,1,1,1,0,2,80,9801,1
0,20,1,2,8,4,0,0,0,0,0,2,0,1,0
0,28,3,2,7,4,3,0,1,1,1,2,280,11,0
1,22,1,1,13,4,1,0,0,0,0,2,160,1,0
1,28,5,2,14,4,5,1,1,2,0,2,420,8,1
1,27,2,2,3,5,1,0,0,0,1,2,640,4001,0
0,18,9,2,11,4,1,1,1,4,0,2,60,541,1
0,23,6,2,11,4,3,1,1,10,0,2,120,246,1
1,24,2,2,8,4,1,0,0,0,1,2,136,2,0
1,28,5,2,9,4,11,1,0,0,1,2,70,1,1
1,26,2,1,6,4,4,1,0,0,0,2,188,1,0
0,29,2,2,11,4,2,1,0,0,1,2,440,1,0
1,23,3,1,8,4,0,0,0,0,0,2,160,1059,0
0,25,1,1,1,1,1,1,1,3,0,2,180,148,0
1,25,1,2,7,4,1,0,0,0,1,2,120,2,0
1,32,2,1,10,8,0,1,0,0,1,2,393,1,1
1,48,4,2,3,5,1,0,0,0,0,2,100,3,0
0,28,4,2,9,4,1,1,0,0,0,1,280,1,1
1,25,1,2,9,4,0,0,1,1,0,2,272,445,0
1,19,10,2,1,1,0,0,0,0,0,2,80,1,0
1,22,1,1,4,4,3,1,1,1,0,2,180,21,0
1,25,1,2,8,4,0,0,0,0,0,2,110,1,0
1,16,4,2,3,8,0,0,0,0,1,2,120,1,0
1,27,2,2,2,4,1,0,0,0,1,2,80,1,0
1,48,4,2,6,4,4,1,0,0,0,1,230,1,1
1,24,3,2,1,1,5,0,0,0,0,2,160,26,0
0,41,2,1,11,8,0,1,1,23,1,2,455,1237,1
1,35,25,2,14,8,2,1,1,1,1,2,515,501,1
1,24,12,2,8,4,2,0,0,0,0,1,80,1,0
1,19,5,2,11,4,0,1,1,2,0,2,0,39,0
1,30,1,2,2,8,0,0,0,0,1,1,252,1,0
0,20,1,2,8,4,1,1,1,5,1,2,140,6,0
1,26,1,2,13,4,1,0,0,0,0,2,100,1,0
1,29,2,1,8,4,2,1,0,0,1,2,0,226,0
1,29,9,2,11,8,6,1,1,6,0,2,381,169,1
1,26,1,2,11,4,2,1,0,0,1,2,280,1,1
1,24,3,1,4,4,0,0,1,1,1,2,280,81,0
1,26,13,2,10,2,0,0,0,0,1,2,140,1111,0
1,54,7,2,8,8,3,1,1,11,1,2,0,285,1
1,32,0,2,2,4,1,1,0,0,1,1,928,1,0
0,25,13,2,2,4,1,0,0,0,1,2,180,1063,0
1,33,3,1,14,4,3,1,1,3,1,2,380,1,1
1,40,2,2,8,4,2,0,0,0,0,2,0,317,0
0,18,0,1,5,1,0,0,0,0,0,2,86,1,0
1,24,1,2,8,4,0,0,0,0,0,2,100,1,1
1,27,3,1,13,4,5,1,1,1,0,2,211,1,1
0,23,0,2,3,4,0,0,0,0,1,1,144,1,0
1,40,1,1,6,4,1,1,1,3,0,2,200,1001,1
0,26,9,2,6,4,1,1,0,0,0,2,160,151,1
1,20,0,2,2,4,1,0,0,0,0,2,144,1,0
1,32,4,1,3,4,0,0,0,0,1,2,411,1,0
1,27,5,1,8,5,3,0,0,0,0,2,200,1211,0
0,25,1,2,1,1,0,1,0,0,0,2,80,1,0
0,32,2,2,8,4,0,0,0,0,1,2,372,123,0
1,18,4,2,8,4,0,0,0,0,0,1,80,1,0
0,38,6,2,11,4,0,1,0,0,1,2,228,1,1
1,23,3,1,8,8,3,1,0,0,0,2,0,1,1
0,18,10,2,1,1,0,0,0,0,0,2,0,51,0
1,24,12,2,11,8,2,1,0,0,1,2,120,1,1
0,26,1,2,8,8,1,1,0,0,1,2,491,1,1
1,26,13,1,4,8,1,0,0,0,1,2,0,18,0
0,23,6,2,6,4,0,0,0,0,0,2,220,1001,0
1,23,1,2,7,4,1,1,0,0,1,1,320,1,0
1,26,0,1,8,4,2,0,0,0,1,2,160,1,0
1,49,0,1,4,4,0,1,1,11,0,2,380,2733,1
1,21,0,2,8,4,1,0,0,0,1,1,0,1,0
1,35,17,1,8,4,4,1,0,0,0,2,80,1,0
0,23,12,2,13,4,0,1,0,0,0,2,80,1350,1
0,48,1,2,3,7,0,0,0,0,0,2,0,121,0
1,43,0,1,13,8,2,1,1,8,0,2,100,376,1
1,32,11,2,14,4,7,1,0,0,0,2,0,1,1
1,21,0,2,8,4,0,0,0,0,0,2,0,45,0
0,19,10,2,6,4,0,1,0,0,0,2,100,1,1
0,27,15,2,14,8,3,1,1,1,0,2,120,12,1
1,41,0,2,10,4,0,0,1,1,0,1,560,1,1
